职位名称,公司名称,位置,工资,职位链接
软件测试主管,宇亿润宸,武汉·洪山区·珞珈山,8-13K,https://www.zhipin.com/job_detail/ec2f634d917548341HFz0tm0FlVY.html?lid=4libl3EPBMj.search.48&securityId=Qtqs48USWnzC7-21c7MKF5OqivJ4te9v9e_qUy94-prJb0fNE3CBd_YRLn1ymkanbjoaNO4N487G9fH_LNcZaJNJuYOIeIm3MqmTqnS3yLA_6UaofQ~~&sessionId=
软件测试主管,中讯网联,武汉·江夏区·光谷,9-14K,https://www.zhipin.com/job_detail/269e79e4d42039c21XJ82t-4EFFS.html?lid=4libl3EPBMj.search.49&securityId=DnFDo4aXM3Aut-K1FwHTVyhVRLnV5bYmQxmgK69GC3n4_Xp6hl8klt0VmcQFO1X31u8p6kb0yx_yyqNrlnqV91kxRZAKj5uh90u0tzlPZDvZkOSHPQ~~&sessionId=
软件测试助理,武汉优美创力科技...,武汉·青山区·建二,5-7K,https://www.zhipin.com/job_detail/a749c16abead4da91XF-2tS-GVJX.html?lid=4libl3EPBMj.search.50&securityId=hp-rhIaFCdeBz-d1ugSdaPnzhe992q_6DiqBYzNXW1BnFYd7SszCit55sghWg2F78Ar-WW9MhYenatzkZOAYZlpsFdWPSKBJ-up0yQTGw4oNtwC1-Shj&sessionId=
软件测试工程师,鼎智云链,武汉·江夏区·藏龙岛,5-10K,https://www.zhipin.com/job_detail/9d94b843ed2a127f1n142d-7FVJS.html?lid=4libl3EPBMj.search.51&securityId=Pg1iyKF0YxTyQ-a1t2axM6CfKU7UKbzB2Vg2FpKWRGX6bgMU9cR9zoSE81k07VBaDM0DR3Zd147n_nsOyWyY3TWOITVei0ZkTJ296b0jyjiMWhICdvAy&sessionId=
软件测试工程师,湖北软件评测中心,武汉·武昌区·珞珈山,4-9K,https://www.zhipin.com/job_detail/718a7d824dd7c1e91nN729y7ElZW.html?lid=4libl3EPBMj.search.52&securityId=4iIwR742Rtal4-i1g0yXf2gPY-SNSug1oIpwRFOhyNTs8vZmtw3tOi2_VFyDfdDJpCwH4UVylLNPHOmkOHoZP0xSaGydx4HUIrBJ4EUHKO3J7-UZvQ~~&sessionId=
软件测试主管,武汉趋动,武汉·江岸区·永清,8-10K·13薪,https://www.zhipin.com/job_detail/9b7ebb5a9658ab960XF83ti8FFQ~.html?lid=4libl3EPBMj.search.53&securityId=5A-iwFSG7WnXZ-l1r1g9oKkeezGDPb5if2p5r5u7PoLU37GXEnSMcL4F9SP09SLj_cdiRbKbuW3zTWeSrAUd28lZYO62n3Uvzkdvm91_hRH6dRqh&sessionId=
CAD软件测试,上海晨雨,武汉·蔡甸区·沌口,8-12K,https://www.zhipin.com/job_detail/ec695aeed682712c1HJ729u8FVRX.html?lid=4libl3EPBMj.search.54&securityId=jcVzb1FfozQRq-F1V6KaqPQTMn8ce198mt9HQE6gZOHltyaV-i-qCIe_4AIvt-DhhtZqo5N5tp77GsY5GFv_MHuAShWr0Fs2SixwK4PJdVt-JDSBiGk~&sessionId=
软件测试工程师,吉奥时空,武汉·江夏区·光谷,10-13K,https://www.zhipin.com/job_detail/34851cc68b8399601XNy2Ny8E1dS.html?lid=4libl3EPBMj.search.55&securityId=cPa8ZVOtiayv8-I1o_NOnb4nHak1rTBjrBwSz4Gu-QtEhGfaIiqY3svFpOyPBfuD_pMYTel2jFWGKIa5SOhqUWkUGYC2ecgNYpZ4cUas7R2SX2AwpA~~&sessionId=
软件测试工程师,瑞斯利,武汉·武昌区·武珞路,7-10K,https://www.zhipin.com/job_detail/abe4fe8521602ac71HB63ti_E1ZU.html?lid=4libl3EPBMj.search.56&securityId=7rEU_03QZnlE7-G1Lwz-MjhrG1LNnpGoi2tVgo_LqFsvXN6HDyoh_qD-JRyZm8lRoEWT8TLhPUYQZxPUZauijJId7Ziy14mYe54Qfw_ap0YXTVl2iYo~&sessionId=
软件测试工程师,华仲软件,武汉·洪山区·鲁巷,6-8K·14薪,https://www.zhipin.com/job_detail/23a106bff04712451XZ429W9GFRZ.html?lid=4libl3EPBMj.search.57&securityId=rdSBXUJDOPYD0-81s6QeyKxzuTJYrWYFhND2btpYZn3Og4GvFyg_6-CGGJJKa5aaPv9Fs_srfzQU6_LlBc2ZdFWOhn8tSRR_PrKRutvfheVXthOUrw~~&sessionId=
